Weight	Length	Age	Month	Head.L	Head.W	Neck.G	Chest.G	Gender	Group
38	114	19	7	25	13	38	58	M	2
41	121	19	7	28	17	51	61	F	2
47	135	19	7	28	14	41	66	M	3
201	171	55	7	42	23	71	114	M	6
243	183	81	9	39	20	79	137	M	6
204	183	115	7	43	25	80	124	M	4
108	157	104	8	39	17	56	89	F	2
99	178	100	4	33	18	53	104	F	2
153	187	56	7	38	19	67	104	M	5
211	174	51	4	34	20	69	124	M	6
113	163	57	9	34	18	51	97	F	4
79	147	53	5	32	15	46	79	F	3
194	185	68	8	41	23	74	112	M	5
20	94	8	8	23	11	33	48	M	1
75	160	44	8	32	11	27	81	F	3
105	170	32	8	36	13	55	94	M	5
61	132	20	8	29	13	44	74	F	4
97	150	32	8	33	20	55	84	M	5
119	163	45	9	34	18	61	99	M	5
20	91	9	9	23	11	30	48	F	1
70	150	21	9	33	15	48	76	M	4
255	183	177	9	41	24	76	122	M	2
73	146	57	9	32	13	48	81	F	3
77	155	81	9	33	13	51	84	F	2
