"Phylum"	"Size"	"GC"
"Proteobacteria"	1.71012	30
"Proteobacteria"	1.70283	30.5
"Proteobacteria"	1.65634	30.6
"Proteobacteria"	1.65912	30.6
"Proteobacteria"	1.65785	30.5
"Proteobacteria"	1.6763	30.4
"Proteobacteria"	1.69479	30.6
"Proteobacteria"	1.67162	30.4
"Proteobacteria"	1.59769	30.4
"Proteobacteria"	1.60894	30.3
"Proteobacteria"	0.118623	27.1
"Proteobacteria"	1.64148	30.5
"Proteobacteria"	1.77783	30.3
"Proteobacteria"	1.69905	30.4566
"Proteobacteria"	1.84511	30.6
"Proteobacteria"	1.62811	30.5
"Proteobacteria"	1.70892	30.551
"Proteobacteria"	1.70978	30.3
"Proteobacteria"	1.71532	30.4
"Proteobacteria"	1.62703	30.4
"Proteobacteria"	1.70134	30.5
"Proteobacteria"	1.73222	30.4
"Proteobacteria"	1.73219	30.1
"Proteobacteria"	1.67222	30.4955
"Proteobacteria"	1.72458	30.4624
"Proteobacteria"	1.61665	30.6
"Proteobacteria"	1.74486	30
"Proteobacteria"	1.64148	30.5
"Proteobacteria"	1.63525	30.5
"Proteobacteria"	1.73386	30.4
"Proteobacteria"	1.80827	30.4
"Proteobacteria"	1.61861	30.5
"Proteobacteria"	1.60816	46
"Proteobacteria"	1.80364	46
"Proteobacteria"	1.47429	46
"Proteobacteria"	1.67893	46
"Proteobacteria"	1.6325	46
"Proteobacteria"	1.74471	46
"Proteobacteria"	1.67541	46
"Proteobacteria"	1.72085	46
"Proteobacteria"	1.6284	46
"Proteobacteria"	1.58972	46
"Proteobacteria"	1.65081	46
"Proteobacteria"	1.6384	46
"Proteobacteria"	1.67286	46
"Proteobacteria"	1.71246	46
"Proteobacteria"	1.59384	46
"Proteobacteria"	1.56274	46
"Proteobacteria"	1.65345	46
"Proteobacteria"	1.66104	46
"Proteobacteria"	1.62793	46
"Proteobacteria"	1.60231	46
"Proteobacteria"	1.82078	46
"Proteobacteria"	1.6043	46
"Proteobacteria"	1.79843	46
"Proteobacteria"	1.60941	46
"Proteobacteria"	1.67022	46
"Proteobacteria"	1.58976	46
"Proteobacteria"	1.78075	46
"Proteobacteria"	1.60176	46
"Proteobacteria"	1.76694	46
"Proteobacteria"	1.74736	46
"Proteobacteria"	1.61923	46
"Proteobacteria"	1.6104	46
"Proteobacteria"	1.728	46
"Proteobacteria"	1.6782	46
"Proteobacteria"	1.64806	46
"Proteobacteria"	1.70366	46
"Proteobacteria"	1.60281	46
